#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE Magnetometer Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       K0>5-min Key Parameter [PRELIM]
#     DESCRIPTOR                      MFI>ACE Magnetic Field Instrument
#     DATA_VERSION                    1
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 PST0210
#     TEXT                            MAG - ACE Magnetic Field Experiment
#                                     References: http://www.srl.caltech.edu/ACE/
#     MODS                            Initial Release 11/10/98
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_K0_MFI_20260202_V01
#     LOGICAL_SOURCE                  ac_k0_mfi
#     LOGICAL_SOURCE_DESCRIPTION      ACE Magnetic Field 5-Minute Key Parameters [PRELIM]
#     PI_NAME                         N. Ness
#     PI_AFFILIATION                  Bartol Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     TIME_RESOLUTION                 5 minutes
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     TEXT_SUPPLEMENT_1               ACE browse data is designed for monitoring large scale particle and field
#                                     behavior and for selecting interesting time periods. The data is automatically
#                                     generated from the spacecraft data stream using simple algorithms provided by
#                                     the instrument teams. It is not routinely checked for accuracy and is subject
#                                     to revision. Use this data at your own risk, and consult with the appropriate
#                                     instrument teams about citing it.
#                                     MAG Browse data is not validated by the experimenters and should not be used
#                                     except for preliminary examination prior to detailed studies.
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, N. Ness of Bartol Research
#                                     Institute
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/
#     ALT_LOGICAL_SOURCE              ACE_MAG_Solar-Wind-Magnetic-Field-Key-Parameters-K0_5min_cdf
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/MAG/KeyParameter/PT5M
#     DOI                             https://doi.org/10.48322/cs7n-7c62
#     CDAWEB_PARENTS                  ac_k0_mfi_00000000_v01
#                                     ac_k0_mfi_20260202_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, centered
#  2. [PRELIMINARY VALUES - BROWSE USE ONLY] B-field magnitude
#  3. [PRELIMINARY VALUES - BROWSE USE ONLY] Magnetic Field, Cartesian GSE coord
#
EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,[PRELIM]_<|B|>__nT,[PRELIM]_BX_GSE_(@_x_)_nT,[PRELIM]_BY_GSE_(@_y_)_nT,[PRELIM]_BZ_GSE_(@_z_)_nT
2026-02-02T12:00:00.000Z,6.32800,2.35900,-5.82900,-0.414000
2026-02-02T12:05:00.000Z,6.24900,1.95000,-5.89800,-0.259000
2026-02-02T12:10:00.000Z,6.18300,1.81000,-5.73400,-0.847000
2026-02-02T12:15:00.000Z,6.20600,1.15500,-5.74200,-1.73000
2026-02-02T12:20:00.000Z,6.21100,1.54200,-5.92700,0.392000
2026-02-02T12:25:00.000Z,6.26900,1.77300,-5.74600,1.53100
2026-02-02T12:30:00.000Z,6.12100,1.91900,-5.64500,1.05300
2026-02-02T12:35:00.000Z,6.20900,0.837000,-5.95000,-0.612000
2026-02-02T12:40:00.000Z,6.14200,1.42800,-5.67000,-1.66800
2026-02-02T12:45:00.000Z,6.15500,1.45400,-5.68800,-1.59300
2026-02-02T12:50:00.000Z,6.16900,0.151000,-5.78100,-2.00100
2026-02-02T12:55:00.000Z,6.05600,0.903000,-5.40500,-2.29600
2026-02-02T13:00:00.000Z,5.93800,0.887000,-4.67500,-3.52100
2026-02-02T13:05:00.000Z,5.78900,0.388000,-4.95100,-2.80400
2026-02-02T13:10:00.000Z,5.71800,0.934000,-5.07900,-2.34300
2026-02-02T13:15:00.000Z,5.72100,0.910000,-5.16900,-2.24300
2026-02-02T13:20:00.000Z,5.72600,0.886000,-5.33500,-1.60400
2026-02-02T13:25:00.000Z,5.72800,2.46000,-4.57500,1.18600
2026-02-02T13:30:00.000Z,5.63800,3.05200,-4.60900,0.667000
2026-02-02T13:35:00.000Z,5.62900,3.02500,-4.63100,0.994000
2026-02-02T13:40:00.000Z,5.61200,3.54900,-4.30800,0.390000
2026-02-02T13:45:00.000Z,5.63500,3.45900,-4.40300,0.0690000
2026-02-02T13:50:00.000Z,5.91600,3.59800,-4.59000,0.181000
2026-02-02T13:55:00.000Z,6.06200,3.60800,-4.82100,0.503000
2026-02-02T14:00:00.000Z,6.02500,3.57000,-4.80600,0.586000
2026-02-02T14:05:00.000Z,6.01800,3.91300,-4.51900,0.128000
2026-02-02T14:10:00.000Z,5.93200,4.08900,-4.26700,0.403000
2026-02-02T14:15:00.000Z,5.98400,4.07900,-4.30900,0.720000
2026-02-02T14:20:00.000Z,5.97400,4.39800,-3.95900,0.752000
2026-02-02T14:25:00.000Z,6.01300,4.32900,-4.04600,0.925000
2026-02-02T14:30:00.000Z,6.08100,3.99500,-4.34200,1.42100
2026-02-02T14:35:00.000Z,6.17500,3.81500,-4.63600,1.41700
2026-02-02T14:40:00.000Z,6.20600,3.89500,-4.64600,1.28400
2026-02-02T14:45:00.000Z,6.25400,4.04900,-4.58000,1.29800
2026-02-02T14:50:00.000Z,6.19300,4.18200,-4.36700,1.29000
2026-02-02T14:55:00.000Z,6.12900,3.72000,-4.72000,1.16800
2026-02-02T15:00:00.000Z,6.11900,3.74100,-4.58500,1.37900
