#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Solar Wind Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       K0>5-Min Key Parameter [PRELIM]
#     DESCRIPTOR                      SWE>ACE Solar Wind Electron Proton Alpha Monitor
#     DATA_VERSION                    1
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 PST0210
#     TEXT                            SWEPAM - Solar Wind Electron Proton Alpha Monitor
#                                     References: http://www.srl.caltech.edu/ACE/
#                                     ACE browse data is designed for monitoring large scale particle and field
#                                     behavior and for selecting interesting time periods. The data is automatically
#                                     generated from the spacecraft data stream using simple algorithms provided by
#                                     the instrument teams. It is not routinely checked for accuracy and is subject
#                                     to revision. Use this data at your own risk, and consult with the appropriate
#                                     instrument teams about citing it.
#                                     SWEPAM Browse data is not validated by the experimenters and should not be used
#                                     except for preliminary examination prior to detailed studies.
#     MODS                            Initial Release 12/01/98
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_K0_SWE_20260202_V01
#     LOGICAL_SOURCE                  AC_K0_SWE
#     LOGICAL_SOURCE_DESCRIPTION      K0 - ACE Solar Wind Experiment 5-Minute Key Parameters [PRELIM]
#     PI_NAME                         D. J. McComas
#     PI_AFFILIATION                  Southwest Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     TIME_RESOLUTION                 5 minutes
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, D. J. McComas of
#                                     NASA LANL
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/
#     ALT_LOGICAL_SOURCE              ACE_SWEPAM_Solar-Wind-Plasma-Key-Parameters-K0_5min_cdf
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/SWEPAM/KeyParameter/PT5M
#     DOI                             https://doi.org/10.48322/pfr6-fg57
#     CDAWEB_PARENTS                  ac_k0_swe_00000000_v01
#                                     ac_k0_swe_20260202_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, centered
#  2. [PRELIMINARY VALUES - BROWSE USE ONLY] Solar Wind Proton Number Density, scalar
#       NOTES:  Np is the proton number density in units of cm-3, as calculated by integrating the ion distribution function.
#  3. [PRELIMINARY VALUES - BROWSE USE ONLY] Solar Wind Bulk Speed
#       NOTES:  Vp is the solar wind proton speed, or more generally just the solar wind (bulk) speed. It is obtained by integrating the ion (proton) distribution function.
#
EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,[PRELIM]_SW_H_NUM_DENSITY_#/cc,[PRELIM]_SW_BULK_SPEED_km/s
2026-02-02T12:00:00.000Z,3.28770,301.950
2026-02-02T12:05:00.000Z,3.27190,301.800
2026-02-02T12:10:00.000Z,3.41910,300.010
2026-02-02T12:15:00.000Z,3.80060,307.240
2026-02-02T12:20:00.000Z,3.30330,304.970
2026-02-02T12:25:00.000Z,2.79160,305.570
2026-02-02T12:30:00.000Z,2.83290,304.130
2026-02-02T12:35:00.000Z,3.78470,310.510
2026-02-02T12:40:00.000Z,3.70960,307.170
2026-02-02T12:45:00.000Z,3.83790,308.340
2026-02-02T12:50:00.000Z,4.72390,320.190
2026-02-02T12:55:00.000Z,3.56850,312.620
2026-02-02T13:00:00.000Z,3.19440,314.820
2026-02-02T13:05:00.000Z,4.32600,319.440
2026-02-02T13:10:00.000Z,3.63810,311.740
2026-02-02T13:15:00.000Z,4.17620,309.520
2026-02-02T13:20:00.000Z,4.43990,309.480
2026-02-02T13:25:00.000Z,3.41420,305.110
2026-02-02T13:30:00.000Z,3.83050,302.050
2026-02-02T13:35:00.000Z,3.34950,300.820
2026-02-02T13:40:00.000Z,3.74090,301.090
2026-02-02T13:45:00.000Z,3.91800,300.140
2026-02-02T13:50:00.000Z,3.48160,298.730
2026-02-02T13:55:00.000Z,3.04530,301.090
2026-02-02T14:00:00.000Z,2.94650,301.910
2026-02-02T14:05:00.000Z,3.09450,301.030
2026-02-02T14:10:00.000Z,3.12240,299.710
2026-02-02T14:15:00.000Z,3.06130,299.680
2026-02-02T14:20:00.000Z,2.87270,297.730
2026-02-02T14:25:00.000Z,2.84380,296.920
2026-02-02T14:30:00.000Z,2.80300,298.780
2026-02-02T14:35:00.000Z,2.70250,297.890
2026-02-02T14:40:00.000Z,2.89960,298.670
2026-02-02T14:45:00.000Z,2.84910,298.640
2026-02-02T14:50:00.000Z,2.89750,297.860
2026-02-02T14:55:00.000Z,2.86220,298.310
2026-02-02T15:00:00.000Z,2.83600,298.580
2026-02-02T15:05:00.000Z,2.75210,298.730
2026-02-02T15:10:00.000Z,2.84590,299.860
2026-02-02T15:15:00.000Z,3.03220,298.950
2026-02-02T15:20:00.000Z,3.89940,301.770
2026-02-02T15:25:00.000Z,4.44380,311.440
2026-02-02T15:30:00.000Z,4.34610,313.310
2026-02-02T15:35:00.000Z,4.24960,311.590
2026-02-02T15:40:00.000Z,4.25420,308.570
2026-02-02T15:45:00.000Z,4.49100,309.940
2026-02-02T15:50:00.000Z,4.11110,305.390
2026-02-02T15:55:00.000Z,4.32960,302.870
2026-02-02T16:00:00.000Z,4.37640,296.630
2026-02-02T16:05:00.000Z,3.45040,296.240
2026-02-02T16:10:00.000Z,3.86940,295.500
2026-02-02T16:15:00.000Z,3.52780,298.260
2026-02-02T16:20:00.000Z,3.98530,294.670
2026-02-02T16:25:00.000Z,3.60910,299.480
2026-02-02T16:30:00.000Z,3.70300,301.030
2026-02-02T16:35:00.000Z,3.75060,300.220
2026-02-02T16:40:00.000Z,4.09700,301.530
2026-02-02T16:45:00.000Z,3.67190,299.180
2026-02-02T16:50:00.000Z,3.28480,298.570
2026-02-02T16:55:00.000Z,3.91140,307.930
2026-02-02T17:00:00.000Z,4.02240,309.280
2026-02-02T17:05:00.000Z,4.27890,304.950
2026-02-02T17:10:00.000Z,3.33430,311.530
2026-02-02T17:15:00.000Z,3.57050,310.400
2026-02-02T17:20:00.000Z,4.06340,301.500
2026-02-02T17:25:00.000Z,4.40180,303.790
2026-02-02T17:30:00.000Z,4.43250,310.750
2026-02-02T17:35:00.000Z,4.02460,308.980
2026-02-02T17:40:00.000Z,4.38060,308.040
